DP_ID,gas,MARKET_DOMAIN_DESCR,MOD_VOLUME_CONSUMPTION,Sum of Sales_CR,ZIPcode,TIMESTAMP - Year,TIMESTAMP - Month
955.0,NI,T&R,336233.7292,-0.119736566,1182.0,2016.0,December
983.0,NI,A&F,34819.90196,-0.409902106,4987.0,2016.0,December
983.0,NI,A&F,37326.8183,-0.409902106,4987.0,2015.0,December
994.0,NI,M&E,98415.89211,-0.445163105,6275.0,2015.0,December
994.0,NI,M&E,320822.6586,-0.445163105,6275.0,2016.0,December
1009.0,NI,T&R,13586.59411,-0.471584353,1399.0,2015.0,December
1030.0,OX,A&F,23194.1124,-0.519049128,992.0,2015.0,December
1031.0,OX,A&F,44315.8719,-0.481100818,992.0,2015.0,December
1032.0,CB,A&F,48879.2496,-0.597714245,992.0,2015.0,December
1032.0,CB,A&F,940510.5731,-0.597714245,992.0,2016.0,December
1033.0,CB,A&F,75825.6306,-0.597714245,992.0,2015.0,December
1033.0,CB,A&F,991214.7429,-0.597714245,992.0,2016.0,December
1035.0,NI,T&R,18730.95709,1.904847873,7684.0,2015.0,December
1039.0,NI,F&P,209735.2938,-0.525729332,6373.0,2015.0,December
1039.0,NI,F&P,358113.667,-0.525729332,6373.0,2016.0,December
1042.0,CB,M&E,64404.18183,-0.548283962,6099.0,2015.0,December
1042.0,CB,M&E,447024.9218,-0.548283962,6099.0,2016.0,December
1043.0,CB,M&E,58456.41414,-0.548283962,6099.0,2015.0,December
1043.0,CB,M&E,374318.2227,-0.548283962,6099.0,2016.0,December
1044.0,CB,F&P,15460.8576,-0.59842733,6373.0,2015.0,December
1044.0,CB,F&P,106203.4131,-0.59842733,6373.0,2016.0,December
1071.0,NI,T&R,360426.7547,1.528726399,3492.0,2015.0,December
1071.0,NI,T&R,2332416.722,1.528726399,3492.0,2016.0,December
1090.0,NI,M&E,6332.277,-0.577914489,6099.0,2015.0,December
1090.0,NI,M&E,11459.46597,-0.577914489,6099.0,2016.0,December
1095.0,CB,F&P,10362.81835,-0.600047373,6373.0,2015.0,December
1095.0,CB,F&P,11788.74492,-0.600047373,6373.0,2016.0,December
1098.0,OX,MD,9751.638071,-0.55194918,2085.0,2016.0,December
1099.0,NI,M&E,202241.8538,-0.382784459,1386.0,2015.0,December
1099.0,NI,M&E,699124.3184,-0.382784459,1386.0,2016.0,December
1100.0,OX,MD,355.781983,-0.579988151,5295.0,2015.0,December
1100.0,OX,MD,8851.139633,-0.579988151,5295.0,2016.0,December
1106.0,NI,T&R,336825.165,4.276620451,7574.0,2015.0,December
1107.0,NI,T&R,137062.4781,-0.388741622,5287.0,2015.0,December
1107.0,NI,T&R,195592.6231,-0.388741622,5287.0,2016.0,December
1111.0,NI,F&P,25913.88734,-0.505484568,6370.0,2015.0,December
1111.0,NI,F&P,78251.94,-0.505484568,6370.0,2016.0,December
1112.0,CB,F&P,6273.336646,-0.590808733,1174.0,2015.0,December
1112.0,CB,F&P,10521.46932,-0.590808733,1174.0,2016.0,December
1116.0,OX,MD,34934.05195,-0.542085947,6096.0,2015.0,December
1116.0,OX,MD,77286.98386,-0.542085947,6096.0,2016.0,December
1117.0,OX,MD,1618.021564,-0.542085947,6096.0,2015.0,December
1117.0,OX,MD,55795.87527,-0.542085947,6096.0,2016.0,December
1119.0,OX,MD,20220.5952,-0.576762838,1599.0,2016.0,December
1119.0,OX,MD,26683.35639,-0.576762838,1599.0,2015.0,December
1124.0,NI,T&R,174841.288,0.369085137,5287.0,2015.0,December
1124.0,NI,T&R,511736.6064,0.369085137,5287.0,2016.0,December
1125.0,NI,T&R,8650.072,0.369085137,5287.0,2015.0,December
1125.0,NI,T&R,27504.5704,0.369085137,5287.0,2016.0,December
1126.0,NI,T&R,148657.7854,0.369085137,5287.0,2015.0,December
1126.0,NI,T&R,212139.5045,0.369085137,5287.0,2016.0,December
1136.0,NI,F&P,16463.64259,-0.591397701,6275.0,2016.0,December
1136.0,NI,F&P,381237.2985,-0.591397701,6275.0,2015.0,December
15.0,OX,Others,36690.26321,0.148744522,1098.0,2016.0,November
15.0,OX,Others,100104.7961,0.148744522,1098.0,2015.0,November
19.0,NI,Chemicals,25198.33097,1.311563185,6099.0,2015.0,November
19.0,NI,Chemicals,29885.92733,1.311563185,6099.0,2016.0,November
50.0,NI,T&R,537609.9073,-0.216252387,1386.0,2015.0,November
58.0,NI,F&P,34944.31504,-0.549397952,1284.0,2015.0,November
58.0,NI,F&P,36676.89607,-0.549397952,1284.0,2016.0,November
66.0,AR,Others,40705.91595,2.20539035,5288.0,2015.0,November
66.0,AR,Others,469782.6214,2.20539035,5288.0,2016.0,November
103.0,NI,T&R,272452.9022,-0.248480234,5690.0,2015.0,November
133.0,NI,F&P,23308.12423,-0.483590582,6373.0,2015.0,November
133.0,NI,F&P,58208.04987,-0.483590582,6373.0,2016.0,November
144.0,NI,Others,87097.50143,0.44793793,1098.0,2015.0,November
145.0,NI,T&R,157372.0884,1.528726399,3492.0,2015.0,November
148.0,NI,T&R,324026.0388,-0.388741622,5287.0,2016.0,November
148.0,NI,T&R,414506.5575,-0.388741622,5287.0,2015.0,November
178.0,NI,T&R,37239.02813,0.398252362,3492.0,2016.0,November
178.0,NI,T&R,92217.04308,0.398252362,3492.0,2015.0,November
228.0,NI,T&R,71644.84557,-0.506495477,6291.0,2015.0,November
240.0,NI,T&R,60860.28792,-0.557098696,0.0,2015.0,November
244.0,NI,Others,77765.74164,-0.510435148,4988.0,2015.0,November
244.0,NI,Others,145195.7528,-0.510435148,4988.0,2016.0,November
270.0,NI,T&R,17518.72552,-0.388741622,5287.0,2016.0,November
270.0,NI,T&R,113855.1147,-0.388741622,5287.0,2015.0,November
272.0,OX,MD,17361.81125,-0.475529975,5746.0,2015.0,November
272.0,OX,MD,27714.82221,-0.475529975,5746.0,2016.0,November
278.0,NI,T&R,103987.3156,-0.471584353,1399.0,2015.0,November
288.0,NI,F&P,83607.62071,-0.551440209,7389.0,2015.0,November
288.0,NI,F&P,2344323.658,-0.551440209,7389.0,2016.0,November
343.0,NI,T&R,448407.6824,0.544737119,3492.0,2015.0,November
345.0,NI,T&R,333279.9642,1.528726399,3492.0,2015.0,November
345.0,NI,T&R,390264.9207,1.528726399,3492.0,2016.0,November
348.0,NI,T&R,370808.7698,0.84524383,7687.0,2015.0,November
348.0,NI,T&R,843278.8333,0.84524383,7687.0,2016.0,November
361.0,NI,T&R,331192.5368,-0.072595609,,2015.0,November
370.0,CB,T&R,43799.72718,-0.595282627,1098.0,2015.0,November
370.0,CB,T&R,45560.61796,-0.595282627,1098.0,2016.0,November
378.0,OX,F&P,12179.07906,-0.483590582,6373.0,2015.0,November
378.0,OX,F&P,39298.94381,-0.483590582,6373.0,2016.0,November
403.0,NI,T&R,338283.1465,-0.04274655,0.0,2015.0,November
440.0,NI,F&P,1482598.977,0.39379728,6374.0,2015.0,November
440.0,NI,F&P,3174320.043,0.39379728,6374.0,2016.0,November
441.0,CB,F&P,51593.34,-0.596043488,6374.0,2016.0,November
441.0,CB,F&P,101055.9576,-0.596043488,6374.0,2015.0,November
455.0,NI,Others,75429.38929,0.148744522,1098.0,2015.0,November
460.0,CB,F&P,5246.94,-0.600047373,6373.0,2015.0,November
460.0,CB,F&P,20582.7,-0.600047373,6373.0,2016.0,November
518.0,NI,M&E,101696.9729,-0.570296751,6375.0,2015.0,November
520.0,NI,T&R,1322994.847,0.922319133,1190.0,2015.0,November
532.0,NI,T&R,337815.184,4.276620451,7574.0,2015.0,November
540.0,NI,T&R,347312.4221,1.904847873,7684.0,2015.0,November
560.0,NI,A&F,170037.05,-0.409902106,4987.0,2015.0,November
560.0,NI,A&F,406954.375,-0.409902106,4987.0,2016.0,November
562.0,NI,A&F,120602.0653,-0.431207084,6277.0,2015.0,November
590.0,NI,T&R,59977.5482,-0.504896735,7382.0,2016.0,November
590.0,NI,T&R,87037.37081,-0.504896735,7382.0,2015.0,November
612.0,AR,A&F,80438.31446,-0.337577921,7975.0,2015.0,November
612.0,AR,A&F,206326.2543,-0.337577921,7975.0,2016.0,November
622.0,NI,M&E,83070.10813,0.126202049,986.0,2015.0,November
644.0,NI,A&F,218303.2078,0.110949466,4692.0,2015.0,November
644.0,NI,A&F,497459.2163,0.110949466,4692.0,2016.0,November
658.0,NI,T&R,442747.0019,-0.218889833,7684.0,2015.0,November
671.0,NI,T&R,447642.4864,4.276620451,7574.0,2015.0,November
747.0,NI,M&E,43881.96786,-0.319886009,897.0,2015.0,November
766.0,CB,T&R,3818.24,-0.599049996,7392.0,2016.0,November
766.0,CB,T&R,32817.91422,-0.599049996,7392.0,2015.0,November
772.0,NI,M&E,24676.55727,-0.563647915,791.0,2015.0,November
780.0,OX,Others,6344.41396,-0.592797347,1098.0,2016.0,November
780.0,OX,Others,8657.027728,-0.592797347,1098.0,2015.0,November
873.0,CB,M&E,406976.8219,-0.548283962,6099.0,2015.0,November
873.0,CB,M&E,945339.3994,-0.548283962,6099.0,2016.0,November
920.0,NI,F&P,7769.724173,-0.51263139,1174.0,2015.0,November
925.0,NI,T&R,302686.7087,0.149272784,5696.0,2015.0,November
925.0,NI,T&R,927223.5525,0.149272784,5696.0,2016.0,November
955.0,NI,T&R,184856.5431,-0.119736566,1182.0,2015.0,November
955.0,NI,T&R,328521.2095,-0.119736566,1182.0,2016.0,November
983.0,NI,A&F,21540.18695,-0.409902106,4987.0,2015.0,November
983.0,NI,A&F,45879.48404,-0.409902106,4987.0,2016.0,November
994.0,NI,M&E,67851.93156,-0.445163105,6275.0,2016.0,November
994.0,NI,M&E,179754.6758,-0.445163105,6275.0,2015.0,November
1009.0,NI,T&R,34848.33732,-0.471584353,1399.0,2015.0,November
1030.0,OX,A&F,54563.91502,-0.519049128,992.0,2015.0,November
1031.0,OX,A&F,134642.7918,-0.481100818,992.0,2015.0,November
1032.0,CB,A&F,118187.7631,-0.597714245,992.0,2015.0,November
1032.0,CB,A&F,775816.1751,-0.597714245,992.0,2016.0,November
1033.0,CB,A&F,163172.0399,-0.597714245,992.0,2015.0,November
1033.0,CB,A&F,908198.3082,-0.597714245,992.0,2016.0,November
1035.0,NI,T&R,56352.40982,1.904847873,7684.0,2015.0,November
1039.0,NI,F&P,60226.76973,-0.525729332,6373.0,2015.0,November
1039.0,NI,F&P,239883.9571,-0.525729332,6373.0,2016.0,November
1042.0,CB,M&E,176203.2517,-0.548283962,6099.0,2015.0,November
1042.0,CB,M&E,416786.0797,-0.548283962,6099.0,2016.0,November
1043.0,CB,M&E,149341.2958,-0.548283962,6099.0,2015.0,November
1043.0,CB,M&E,439741.0104,-0.548283962,6099.0,2016.0,November
1044.0,CB,F&P,17481.13605,-0.59842733,6373.0,2016.0,November
1044.0,CB,F&P,53418.36452,-0.59842733,6373.0,2015.0,November
1071.0,NI,T&R,702945.5159,1.528726399,3492.0,2015.0,November
1071.0,NI,T&R,2438212.121,1.528726399,3492.0,2016.0,November
1090.0,NI,M&E,16791.17831,-0.577914489,6099.0,2015.0,November
1090.0,NI,M&E,18852.22137,-0.577914489,6099.0,2016.0,November
1095.0,CB,F&P,7095.975833,-0.600047373,6373.0,2015.0,November
1095.0,CB,F&P,24396.78871,-0.600047373,6373.0,2016.0,November
1098.0,OX,MD,7053.181103,-0.55194918,2085.0,2016.0,November
1099.0,NI,M&E,217248.0805,-0.382784459,1386.0,2015.0,November
1099.0,NI,M&E,598444.3344,-0.382784459,1386.0,2016.0,November
1100.0,OX,MD,9861.686816,-0.579988151,5295.0,2016.0,November
1100.0,OX,MD,16743.07518,-0.579988151,5295.0,2015.0,November
1106.0,NI,T&R,754612.5861,4.276620451,7574.0,2015.0,November
1107.0,NI,T&R,204180.5819,-0.388741622,5287.0,2016.0,November
1107.0,NI,T&R,464123.2063,-0.388741622,5287.0,2015.0,November
1111.0,NI,F&P,29735.09773,-0.505484568,6370.0,2015.0,November
1111.0,NI,F&P,129071.113,-0.505484568,6370.0,2016.0,November
1112.0,CB,F&P,3887.78629,-0.590808733,1174.0,2015.0,November
1112.0,CB,F&P,17989.2641,-0.590808733,1174.0,2016.0,November
1116.0,OX,MD,34063.94033,-0.542085947,6096.0,2015.0,November
1116.0,OX,MD,69864.05139,-0.542085947,6096.0,2016.0,November
1117.0,OX,MD,22186.68057,-0.542085947,6096.0,2015.0,November
1117.0,OX,MD,29098.02114,-0.542085947,6096.0,2016.0,November
1119.0,OX,MD,18888.17357,-0.576762838,1599.0,2015.0,November
1119.0,OX,MD,19498.0812,-0.576762838,1599.0,2016.0,November
1124.0,NI,T&R,357086.9596,0.369085137,5287.0,2016.0,November
1124.0,NI,T&R,493388.6038,0.369085137,5287.0,2015.0,November
1125.0,NI,T&R,18363.42846,0.369085137,5287.0,2016.0,November
1125.0,NI,T&R,22928.13611,0.369085137,5287.0,2015.0,November
1126.0,NI,T&R,221453.9934,0.369085137,5287.0,2016.0,November
1126.0,NI,T&R,479434.0887,0.369085137,5287.0,2015.0,November
1136.0,NI,F&P,13095.62631,-0.591397701,6275.0,2016.0,November
15.0,OX,Others,58948.79157,0.148744522,1098.0,2016.0,October
19.0,NI,Chemicals,25961.02404,1.311563185,6099.0,2016.0,October
58.0,NI,F&P,37693.64738,-0.549397952,1284.0,2016.0,October
66.0,AR,Others,492485.7836,2.20539035,5288.0,2016.0,October
133.0,NI,F&P,61690.71807,-0.483590582,6373.0,2016.0,October
148.0,NI,T&R,310772.6483,-0.388741622,5287.0,2016.0,October
178.0,NI,T&R,35177.18984,0.398252362,3492.0,2016.0,October
244.0,NI,Others,136372.6921,-0.510435148,4988.0,2016.0,October
270.0,NI,T&R,6560.734055,-0.388741622,5287.0,2016.0,October
272.0,OX,MD,28787.52236,-0.475529975,5746.0,2016.0,October
288.0,NI,F&P,60433.26856,-0.551440209,7389.0,2016.0,October
345.0,NI,T&R,160315.8924,1.528726399,3492.0,2016.0,October
348.0,NI,T&R,891328.3882,0.84524383,7687.0,2016.0,October
370.0,CB,T&R,25008.7498,-0.595282627,1098.0,2016.0,October
378.0,OX,F&P,43702.87796,-0.483590582,6373.0,2016.0,October
440.0,NI,F&P,377481.3392,0.39379728,6374.0,2016.0,October
441.0,CB,F&P,11960.26,-0.596043488,6374.0,2016.0,October
460.0,CB,F&P,17615.4,-0.600047373,6373.0,2016.0,October
560.0,NI,A&F,375309.8478,-0.409902106,4987.0,2016.0,October
590.0,NI,T&R,214746.955,-0.504896735,7382.0,2016.0,October
612.0,AR,A&F,189896.806,-0.337577921,7975.0,2016.0,October
644.0,NI,A&F,484004.4136,0.110949466,4692.0,2016.0,October
766.0,CB,T&R,3042.66,-0.599049996,7392.0,2016.0,October
780.0,OX,Others,21215.997,-0.592797347,1098.0,2016.0,October
873.0,CB,M&E,459523.6686,-0.548283962,6099.0,2016.0,October
925.0,NI,T&R,143436.2488,0.149272784,5696.0,2016.0,October
955.0,NI,T&R,340395.1738,-0.119736566,1182.0,2016.0,October
983.0,NI,A&F,43678.6447,-0.409902106,4987.0,2016.0,October
994.0,NI,M&E,349928.5834,-0.445163105,6275.0,2016.0,October
1032.0,CB,A&F,722458.3749,-0.597714245,992.0,2016.0,October
1033.0,CB,A&F,890415.138,-0.597714245,992.0,2016.0,October
1039.0,NI,F&P,70764.41368,-0.525729332,6373.0,2016.0,October
1042.0,CB,M&E,484533.0264,-0.548283962,6099.0,2016.0,October
1043.0,CB,M&E,330319.7642,-0.548283962,6099.0,2016.0,October
1071.0,NI,T&R,965656.7133,1.528726399,3492.0,2016.0,October
1090.0,NI,M&E,41305.52368,-0.577914489,6099.0,2016.0,October
1095.0,CB,F&P,21798.03224,-0.600047373,6373.0,2016.0,October
1098.0,OX,MD,7131.835505,-0.55194918,2085.0,2016.0,October
1099.0,NI,M&E,616431.9779,-0.382784459,1386.0,2016.0,October
1100.0,OX,MD,13059.96439,-0.579988151,5295.0,2016.0,October
1107.0,NI,T&R,330257.0956,-0.388741622,5287.0,2016.0,October
1111.0,NI,F&P,180483.3064,-0.505484568,6370.0,2016.0,October
1112.0,CB,F&P,16940.5198,-0.590808733,1174.0,2016.0,October
1116.0,OX,MD,72307.24456,-0.542085947,6096.0,2016.0,October
1117.0,OX,MD,51501.81871,-0.542085947,6096.0,2016.0,October
1119.0,OX,MD,20506.7434,-0.576762838,1599.0,2016.0,October
1124.0,NI,T&R,325341.9868,0.369085137,5287.0,2016.0,October
1125.0,NI,T&R,6877.069195,0.369085137,5287.0,2016.0,October
1126.0,NI,T&R,358196.4161,0.369085137,5287.0,2016.0,October
1136.0,NI,F&P,12418.57173,-0.591397701,6275.0,2016.0,October
15.0,OX,Others,25112.82133,0.148744522,1098.0,2016.0,September
19.0,NI,Chemicals,29782.27671,1.311563185,6099.0,2016.0,September
58.0,NI,F&P,32775.31231,-0.549397952,1284.0,2016.0,September
66.0,AR,Others,450536.2044,2.20539035,5288.0,2016.0,September
133.0,NI,F&P,59949.38397,-0.483590582,6373.0,2016.0,September
148.0,NI,T&R,292021.3345,-0.388741622,5287.0,2016.0,September
178.0,NI,T&R,31490.78776,0.398252362,3492.0,2016.0,September
244.0,NI,Others,131441.6668,-0.510435148,4988.0,2016.0,September
270.0,NI,T&R,7833.297869,-0.388741622,5287.0,2016.0,September
272.0,OX,MD,27946.14444,-0.475529975,5746.0,2016.0,September
288.0,NI,F&P,13404.94134,-0.551440209,7389.0,2016.0,September
348.0,NI,T&R,867972.7039,0.84524383,7687.0,2016.0,September
370.0,CB,T&R,172194.1327,-0.595282627,1098.0,2016.0,September
378.0,OX,F&P,36364.23387,-0.483590582,6373.0,2016.0,September
440.0,NI,F&P,2512314.65,0.39379728,6374.0,2016.0,September
441.0,CB,F&P,40374.12,-0.596043488,6374.0,2016.0,September
460.0,CB,F&P,16827.26,-0.600047373,6373.0,2016.0,September
560.0,NI,A&F,390952.2546,-0.409902106,4987.0,2016.0,September
590.0,NI,T&R,185519.521,-0.504896735,7382.0,2016.0,September
612.0,AR,A&F,184320.5159,-0.337577921,7975.0,2016.0,September
644.0,NI,A&F,395552.0455,0.110949466,4692.0,2016.0,September
766.0,CB,T&R,3543.49,-0.599049996,7392.0,2016.0,September
780.0,OX,Others,6172.656145,-0.592797347,1098.0,2016.0,September
873.0,CB,M&E,920850.1058,-0.548283962,6099.0,2016.0,September
925.0,NI,T&R,1032858.443,0.149272784,5696.0,2016.0,September
955.0,NI,T&R,328848.9883,-0.119736566,1182.0,2016.0,September
983.0,NI,A&F,44182.94298,-0.409902106,4987.0,2016.0,September
994.0,NI,M&E,503071.0412,-0.445163105,6275.0,2016.0,September
1032.0,CB,A&F,587889.4063,-0.597714245,992.0,2016.0,September
1033.0,CB,A&F,924420.9612,-0.597714245,992.0,2016.0,September
1039.0,NI,F&P,206445.4338,-0.525729332,6373.0,2016.0,September
1042.0,CB,M&E,415389.2576,-0.548283962,6099.0,2016.0,September
1043.0,CB,M&E,375415.2436,-0.548283962,6099.0,2016.0,September
1044.0,CB,F&P,12880.01065,-0.59842733,6373.0,2016.0,September
1090.0,NI,M&E,31521.54607,-0.577914489,6099.0,2016.0,September
1095.0,CB,F&P,20822.64398,-0.600047373,6373.0,2016.0,September
1098.0,OX,MD,6453.552753,-0.55194918,2085.0,2016.0,September
1099.0,NI,M&E,789220.0992,-0.382784459,1386.0,2016.0,September
1100.0,OX,MD,9383.534075,-0.579988151,5295.0,2016.0,September
1107.0,NI,T&R,278275.6411,-0.388741622,5287.0,2016.0,September
1111.0,NI,F&P,221303.6204,-0.505484568,6370.0,2016.0,September
1112.0,CB,F&P,14025.9875,-0.590808733,1174.0,2016.0,September
1116.0,OX,MD,67699.37875,-0.542085947,6096.0,2016.0,September
1117.0,OX,MD,33185.07227,-0.542085947,6096.0,2016.0,September
1119.0,OX,MD,20503.4778,-0.576762838,1599.0,2016.0,September
1124.0,NI,T&R,321816.8551,0.369085137,5287.0,2016.0,September
1125.0,NI,T&R,8211.008391,0.369085137,5287.0,2016.0,September
1126.0,NI,T&R,301817.3982,0.369085137,5287.0,2016.0,September
1136.0,NI,F&P,13101.24299,-0.591397701,6275.0,2016.0,September
15.0,OX,Others,20267.54542,0.148744522,1098.0,2016.0,August
19.0,NI,Chemicals,32926.34537,1.311563185,6099.0,2016.0,August
58.0,NI,F&P,36011.66541,-0.549397952,1284.0,2016.0,August
66.0,AR,Others,495732.7587,2.20539035,5288.0,2016.0,August
133.0,NI,F&P,74682.12581,-0.483590582,6373.0,2016.0,August
148.0,NI,T&R,478640.9859,-0.388741622,5287.0,2016.0,August
178.0,NI,T&R,46880.60349,0.398252362,3492.0,2016.0,August
244.0,NI,Others,30825.58928,-0.510435148,4988.0,2016.0,August
270.0,NI,T&R,7127.893415,-0.388741622,5287.0,2016.0,August
272.0,OX,MD,29417.23287,-0.475529975,5746.0,2016.0,August
278.0,NI,T&R,37681.58978,-0.471584353,1399.0,2016.0,August
348.0,NI,T&R,851779.6862,0.84524383,7687.0,2016.0,August
361.0,NI,T&R,24874.11476,-0.072595609,,2016.0,August
370.0,CB,T&R,29623.48259,-0.595282627,1098.0,2016.0,August
378.0,OX,F&P,31470.55831,-0.483590582,6373.0,2016.0,August
440.0,NI,F&P,3053047.594,0.39379728,6374.0,2016.0,August
441.0,CB,F&P,49834.94,-0.596043488,6374.0,2016.0,August
460.0,CB,F&P,16120.76,-0.600047373,6373.0,2016.0,August
560.0,NI,A&F,383665.483,-0.409902106,4987.0,2016.0,August
590.0,NI,T&R,168466.8404,-0.504896735,7382.0,2016.0,August
612.0,AR,A&F,157900.9484,-0.337577921,7975.0,2016.0,August
644.0,NI,A&F,331005.2164,0.110949466,4692.0,2016.0,August
766.0,CB,T&R,3562.33,-0.599049996,7392.0,2016.0,August
780.0,OX,Others,17317.36376,-0.592797347,1098.0,2016.0,August
873.0,CB,M&E,673155.1135,-0.548283962,6099.0,2016.0,August
925.0,NI,T&R,1307663.196,0.149272784,5696.0,2016.0,August
955.0,NI,T&R,343968.3445,-0.119736566,1182.0,2016.0,August
983.0,NI,A&F,44698.90135,-0.409902106,4987.0,2016.0,August
994.0,NI,M&E,1190454.24,-0.445163105,6275.0,2016.0,August
1009.0,NI,T&R,41689.45158,-0.471584353,1399.0,2016.0,August
